No,Short Code,Initial Sites,Co-Located Site Code,Co-Located Site Name,OMC Name,BSC/RNC,Long Code,Area,Zone,Office,Site Type,Site Category,HO / On Air Date,Generator,Generator Serial Number,Site Severity,MSP,VIP
582,0166AL,Initial,,,S_ABBARY_0166AL,MANSHIA02,C2_0166AL_PH03,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
583,0671AL,Initial,,,0691_S_TABIA-VLG_0671AL,MAMOURA01,C1_0671AL_PH13,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
584,1096AL,Initial,,,I-JUDGE-CLUB,SEMOUHA02,C1_1096AL_PH16,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
585,0003AL,Initial,8044AL,AWAYED01/02 BSC,AWAYED ODU,NEWAWAYED01,C1_0003AL_PH00,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
586,2588AL,Initial,,,M-FAROUK-CAFÉ,NA,C2_2588AL_PH13,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
587,0577AL,Initial,,,18_S_ABUQIR-BALAD_0577AL_0SS0,ASBSCALW01,C1_0577AL_PH12,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
588,2686AL,Initial,,,M-EISAWY-1,MIAMI01,C1_2686AL_PH15,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
589,3410AL,Initial,,,ABIS-VLG-10,ASBSCALW01,C1_3410AL_PH26,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
590,3511AL,Initial,,,NEW-SAWARY-4,MANSHIA02,C1_3511AL_PH27,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
591,2A51AL,Initial,,,M-ARAMEX-ALEX ,NA,C1_2A51AL_PH22 ,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
592,0775AL,Initial,,,GAMAL-ST,ASBSCALW01,C13_0775AL_PH15,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
593,3369AL,Initial,,,ENG-CLG2,SEMOUHA02,C2_3369AL_PH25,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
594,3354AL,Initial,,,MRGHNI-PALACE2,SEMOUHA02,C1_3354AL_PH25,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
595,3078AL,Initial,,,ANDLSIA-RSDNS,ASBSCALW01,C4_3078AL_PH21,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
596,3445AL,Initial,,,ANTNIADS-PARK2,ASBSCALS02,C1_3445AL_PH26,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
597,3481AL,Initial,,,IZ-TALATIN-7,ASBSCALW01,C1_3481AL_PH26,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
598,3470AL,Initial,,,ESHREEN-ST-2,ASBSCALW01,C1_3470AL_PH26,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
599,3411AL,Initial,,,MALAHA-4,ASBSCALW01,C1_3411AL_PH26,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
600,3455AL,Initial,,,ABIS-RSDNS-3,ASBSCALW01,C1_3455AL_PH26,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
601,0688AL,Initial,,,BANTAKOSH-NTH,ASBSCALW01,C5_0688AL_PH13,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
602,3472AL,Initial,,,GHOBRIAL-10,ASBSCALW01,C1_3472AL_PH26,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
603,3477AL,Initial,,,IZBET-MUHSEN-5,ASBSCALW01,C2_3477AL_PH26,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
604,2860AL,Initial,,,M-AUDI-SMOUHA,SMOUHA01,C1_2860AL_PH17,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
605,1247AL,Initial,,,I-SLMA-HPT-RML,NA,C1_1247AL_PH25,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
606,2635AL,Initial,,,M-LATINO,SEMOUHA02,C1_2635AL_PH14,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
607,3476AL,Initial,,,IZBET-MUHSEN-4,ASBSCALW01,C1_3476AL_PH26,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
608,3471AL,Initial,,,FLEMMING-6,ASBSCALS02,C1_3471AL_PH26,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
609,3458AL,Initial,,,ALX-AGRC-ENT,NEWAWAYED02,3458AL,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
610,2101AL,Initial,,,S_M-SADCO-ALEX_2101AL_GG00,SMOUHA01,C1_2101AL_PH09,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
611,3480AL,Initial,,,IZ-TALATIN-6,NEWAWAYED02,3480AL,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
612,0766AL,Initial,,,FISH-FARM-3,NEWAWAYED02,0766AL,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
613,0451AL,Initial,,,RAS-SODA2 ,MIAMI01,C4_0451AL_PH09,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-18 00:00:00,,,Silver,Nokia,
614,3596AL,Initial,,,WARDIAN-KBLY2,ASBSCALS02,C1_3596AL_PH28,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-22 00:00:00,,,Bronze,Nokia,
615,0744AL,Initial,,,HADRA-MRKT,SEMOUHA02,C12_0744AL_PH14,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
616,0016AL,Initial,8102AL,MIAMI BSC,SIDIBISHR,MIAMI01,C1_0016AL_PH00,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
617,0403AL,Initial,,,HADRA-DOWN-TWN,ASBSCALS02,C11_0403AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-07-06 00:00:00,,,Bronze,Nokia,
618,0404AL,Initial,,,LAMBROZO,ASBSCALS02,C6_0404AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-07-07 00:00:00,,,Bronze,Nokia,
619,0006AL,Initial,8054AL,MANSHIA BSC,MANSHIA,MANSHIA01,C1_0006AL_PH00,Alex,Alex,SEMOUHA,Shelter Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
620,3300AL,Initial,,,GREEK-CLUB,ASBSCALS01,C2_3300AL_PH24,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-07-06 00:00:00,,,Bronze,Nokia,
621,3326AL,Initial,,,NEW-SAWARY,SEMOUHA02,C1_3326AL_PH24,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-07-20 00:00:00,,,Bronze,Nokia,
622,3139AL,Initial,,,FLEMMING-5,ASBSCALS02,C1_3139AL_PH22,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-08-03 00:00:00,,,Bronze,Nokia,
623,0910AL,Initial,,,GOMROK-4,ASBSCALS01,C7_0910AL_PH17,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-08-13 00:00:00,,,Bronze,Nokia,
624,0889AL,Initial,,,FAISAL-HSNG-2,ASBSCALW01,C3_0889AL_PH17,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-08-13 00:00:00,,,Bronze,Nokia,
625,2019AL,Initial,,,M-ORABI,MANSHIA01,C1_2019AL_PH03,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
626,3183AL,Initial,,,MAMOURA-CTR,ASBSCALW01,C1_3183AL_PH23,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-08-24 00:00:00,,,Bronze,Nokia,
627,3484AL,Initial,,,MANDARA-5,ASBSCALW01,C1_3484AL_PH26,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-08-24 00:00:00,,,Bronze,Nokia,
628,0660AL,Initial,,,WARDIAN-CTR,ASBSCALS01,C6_0660AL_PH13,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-09-18 00:00:00,,,Bronze,Nokia,
